question,link,source_file
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/moe-tuition-fee-loan/,admissions_undergraduate_faq_paged_1.html
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.dbs.com.sg/iwov-resources/media/pdf/loans/dbs-student-loans-digital-submission-prerequisite-guide.pdf,admissions_undergraduate_faq_paged_1.html
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/wp-content/uploads/2025/01/OSA_SFA_UGSLApplForm_1.pdf,admissions_undergraduate_faq_paged_1.html
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/repo/wp-content/uploads/sites/2/2025/01/SUTD-Doc-CheckList_SL.pdf,admissions_undergraduate_faq_paged_1.html
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/moe-study-loan-scheme/,admissions_undergraduate_faq_paged_1.html
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.dbs.com.sg/personal/loans/education-loans/study-loan,admissions_undergraduate_faq_paged_1.html
How can I apply for the Tuition Fee Loan (TFL) and Study Loan (SL)?,https://www.sutd.edu.sg/wp-content/uploads/2024/12/SUTD_SL_Application_Procedures.pdf,admissions_undergraduate_faq_paged_1.html
How do I check the balance in / withdraw funds from my Post-Secondary Education Account (PSEA)?,mailto:contact@moe.gov.sg,admissions_undergraduate_faq_paged_2.html
How do I check the balance in / withdraw funds from my Post-Secondary Education Account (PSEA)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/post-secondary-education-account/,admissions_undergraduate_faq_paged_2.html
"What can I use the Post-Secondary Education Account (PSEA) funds for? If I have applied for and been awarded Tuition Fee Loan (TFL) and/or Study Loan (SL), can I still use my PSEA funds?",https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/other-financing-options/post-secondary-education-account/,admissions_undergraduate_faq_paged_2.html
"What can I use the Post-Secondary Education Account (PSEA) funds for? If I have applied for and been awarded Tuition Fee Loan (TFL) and/or Study Loan (SL), can I still use my PSEA funds?",mailto:psea@sutd.edu.sg,admissions_undergraduate_faq_paged_2.html
What are the tuition fees and other estimated expenses for the undergraduate programme?,https://www.sutd.edu.sg/admissions/undergraduate/education-expenses/fees/,admissions_undergraduate_faq_paged_2.html
What are the tuition fees and other estimated expenses for the undergraduate programme?,https://www.sutd.edu.sg/admissions/undergraduate/education-expenses/financial-estimates/,admissions_undergraduate_faq_paged_2.html
I received the Tuition Grant for my polytechnic course. Am I eligible to take up another Tuition Grant for my undergraduate degree in SUTD?,https://www.sutd.edu.sg/admissions/undergraduate/education-expenses/fees/,admissions_undergraduate_faq_paged_2.html
What is the admission process?,https://www.sutd.edu.sg/admissions/undergraduate/application-guide/,admissions_undergraduate_faq_paged_2.html
How do I appeal against the admissions decision?,https://www.sutd.edu.sg/admissions/undergraduate/appeal/,admissions_undergraduate_faq_paged_2.html
How do I appeal against the admissions decision?,https://admission.sutd.edu.sg/psc/CSADM1PRD/APPLICANT/HRMS/c/N_ADMISSIONS.N_AD_APPLUG_APL.GBL/action=U,admissions_undergraduate_faq_paged_2.html
How do I appeal against the admissions decision?,https://admission.sutd.edu.sg/psc/CSADM1PRD/APPLICANT/HRMS/c/N_ADMISSIONS.N_AD_APPLUG_APL.GBL/action=U?&,admissions_undergraduate_faq_paged_2.html
How do I check my application status? When will I be notified to book my conversation slot?,https://admission.sutd.edu.sg/psp/CSADM1PRD/APPLICANT/HRMS/?cmd=login%20%3Chttps://admission.sutd.edu.sg/psp/CSADM1PRD/APPLICANT/HRMS/?cmd=login,admissions_undergraduate_faq_paged_3.html
What do I need to prepare before I start my online application?,https://www.sutd.edu.sg/admissions/undergraduate/application-guide/,admissions_undergraduate_faq_paged_3.html
How will the financial aid awards be utilised?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/government-bursaries/#higher-education-community-bursary-scheme,admissions_undergraduate_faq_paged_3.html
How will the financial aid awards be utilised?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/government-bursaries/#higher-education-bursary-scheme,admissions_undergraduate_faq_paged_3.html
How will the financial aid awards be utilised?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/sutd-education-opportunity-grant/,admissions_undergraduate_faq_paged_3.html
How will the financial aid awards be utilised?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/study-bursary-awards/,admissions_undergraduate_faq_paged_3.html
How will the financial aid awards be utilised?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/special-programme-grant/,admissions_undergraduate_faq_paged_3.html
How will the financial aid awards be utilised?,https://www.sutd.edu.sg/admissions/undergraduate/education-expenses/fees/#compulsory-miscellaneous-fees,admissions_undergraduate_faq_paged_3.html
Does SUTD administer the Mendaki Tertiary Tuition Fee Subsidy (TTFS)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/mendaki-tertiary-tuition-fee-subsidy/,admissions_undergraduate_faq_paged_3.html
Do I have to repay the financial aid awards awarded to me?,mailto:scholarships_financialaid@sutd.edu.sg,admissions_undergraduate_faq_paged_3.html
What should I do if I missed the main financial aid application?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/government-bursaries/,admissions_undergraduate_faq_paged_4.html
When can I start applying for financial aid?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/government-bursaries/,admissions_undergraduate_faq_paged_4.html
When can I start applying for financial aid?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/sutd-education-opportunity-grant/,admissions_undergraduate_faq_paged_4.html
When can I start applying for financial aid?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/study-bursary-awards/,admissions_undergraduate_faq_paged_4.html
When can I start applying for financial aid?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/financial-aid/special-programme-grant/,admissions_undergraduate_faq_paged_4.html
How do I apply for financial aid at SUTD?,https://admission.sutd.edu.sg/psp/CSADM1PRD/APPLICANT/HRMS/?cmd=login,admissions_undergraduate_faq_paged_4.html
How do I apply for financial aid at SUTD?,https://myportal.sutd.edu.sg/psp/EPPRD/?cmd=login&languageCd=ENG,admissions_undergraduate_faq_paged_4.html
How do I apply for financial aid at SUTD?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/,admissions_undergraduate_faq_paged_4.html
Will there be any orientation for Freshmores?,https://www.sutd.edu.sg/education/undergraduate/academic-calendar/overview/ay2024-onwards/,admissions_undergraduate_faq_paged_5.html
"When would I be receiving matriculation details, including information on laptop requirements/ purchases etc?",mailto:studentadmin@sutd.edu.sg,admissions_undergraduate_faq_paged_5.html
"When would I be receiving matriculation details, including information on laptop requirements/ purchases etc?",https://www.sutd.edu.sg/admissions/undergraduate/early-matriculation/,admissions_undergraduate_faq_paged_5.html
When is the start of term/ Academic Year?,https://www.sutd.edu.sg/education/undergraduate/academic-calendar/overview/ay2024-onwards/,admissions_undergraduate_faq_paged_5.html
When is the application window to apply for special programmes? Is there a second window for SUTD students to apply for the programmes after they have enrolled in the university?,https://www.sutd.edu.sg/admissions/undergraduate/ask-admissions/,admissions_undergraduate_faq_paged_5.html
How do I apply for your special programmes (SUTD-DUKE-NUS Special Track/SHARP) and what are the admission requirements?,https://www.sutd.edu.sg/education/undergraduate/special-programmes/sutd-duke-nus-special-track/overview/,admissions_undergraduate_faq_paged_5.html
How do I apply for your special programmes (SUTD-DUKE-NUS Special Track/SHARP) and what are the admission requirements?,https://www.sutd.edu.sg/education/undergraduate/special-programmes/sharp/overview/,admissions_undergraduate_faq_paged_5.html
What are the Mother Tongue Language (MTL) requirements for Singapore Citizens (SC)/Permanent Residents (SPR) presenting international qualifications?,https://www.sutd.edu.sg/admissions/undergraduate/admission-requirements/international-qualifications/,admissions_undergraduate_faq_paged_6.html
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/education/undergraduate/freshmore-subjects/,admissions_undergraduate_faq_paged_6.html
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/singapore-cambridge-gce-a-level/criteria-for-admission/,admissions_undergraduate_faq_paged_6.html
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/local-diploma/criteria-for-admission/,admissions_undergraduate_faq_paged_6.html
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/Admissions/Undergraduate/Application/Admissions-Requirements/International-Baccalaureate-Diploma-(Singapore),admissions_undergraduate_faq_paged_6.html
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/nus-high-school-diploma/criteria-for-admission/,admissions_undergraduate_faq_paged_6.html
What are your admission requirements/ cut-off points for the undergraduate degree programmes?,https://www.sutd.edu.sg/admissions/undergraduate/admission-requirements/international-qualifications/,admissions_undergraduate_faq_paged_6.html
How can I apply for a scholarship if I am not offered one at admission?,https://www.sutd.edu.sg/admissions/undergraduate/scholarship/external-sponsored/,admissions_undergraduate_faq_paged_6.html
What are the terms and conditions of the scholarships?,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Application-for-scholarships,admissions_undergraduate_faq_paged_6.html
How do I apply for scholarships at SUTD?,https://www.sutd.edu.sg/admissions/undergraduate/scholarship/sutd-administered/,admissions_undergraduate_faq_paged_6.html
Am I eligible for the SUTD Community Grant (SCG)?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/sutd-community-grant/,admissions_undergraduate_faq_paged_6.html
Are students required to participate in internships while studying at SUTD?,https://www.sutd.edu.sg/campus-life/career-development/,admissions_undergraduate_faq_paged_6.html
What are the research opportunities available in SUTD for undergraduates?,https://www.sutd.edu.sg/campus-life/undergraduate-opportunities-programme/urop/,admissions_undergraduate_faq_paged_7.html
What are the research opportunities available in SUTD for undergraduates?,https://www.sutd.edu.sg/education/undergraduate/special-programmes/sharp/overview/,admissions_undergraduate_faq_paged_7.html
Are all students allowed to take a minor in SUTD and what are the requirements?,https://www.sutd.edu.sg/education/undergraduate/minors/,admissions_undergraduate_faq_paged_7.html
What are the undergraduate degree programmes offered by SUTD? Are there any part-time degree programmes?,https://www.sutd.edu.sg/education/undergraduate,admissions_undergraduate_faq_paged_7.html
What are the undergraduate degree programmes offered by SUTD? Are there any part-time degree programmes?,https://www.sutd.edu.sg/admissions/academy,admissions_undergraduate_faq_paged_7.html
What should I bring for my hostel stay?,https://www.sutd.edu.sg/campus-life/housing/freshmore-terms-1-2/what-to-bring/,admissions_undergraduate_faq_paged_7.html
Is there any financial aid for students who are unable to afford the housing fees?,https://www.sutd.edu.sg/admissions/undergraduate/financing-options-and-aid/,admissions_undergraduate_faq_paged_7.html
How much does it cost to stay on campus?,https://www.sutd.edu.sg/campus-life/housing/,admissions_undergraduate_faq_paged_7.html
How are students assigned to their rooms? What if I am not comfortable with my assigned roommate?,mailto:ecchousing@sutd.edu.sg,admissions_undergraduate_faq_paged_7.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/a-level-certifications-international/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/australian-qualifications/criteria-for-admission,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/india-standard-12/criteria-for-admission,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/indonesian-ijazah-sma/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/indonesian-ujian-nasional-un/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/international-baccalaureate-diploma-international/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/malaysia-unified-examination-certificate-uec/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/myanmar-matriculation-examination-mme/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/philippines-high-school-certificate/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/prc-national-college-entrance-exam-ncee/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/sijil-tinggi-persekolahan-malaysia-stpm/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/thailand-certificate-of-secondary-education-mathayom-6/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/us-high-school-diploma/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/vietnam-high-school-graduation-examination/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
"I have not received my exam results yet. Can I apply with my predicted results, and if yes, when should I do so?",https://www.sutd.edu.sg/admissions/undergraduate/other-international-qualifications/criteria-for-admission/,admissions_undergraduate_faq_paged_8.html
Can a local polytechnic student apply with only 5 semesters results? Will those applying with a full set of Poly results have an advantage?,https://www.sutd.edu.sg/admissions/undergraduate/local-diploma/application-timeline/,admissions_undergraduate_faq_paged_8.html
